structure,shell_1.75A,shell_2.00A,shell_2.50A,shell_2.75A,shell_3.25A,shell_3.50A,shell_3.75A,shell_4.00A,shell_4.75A,shell_5.00A,shell_5.25A,shell_5.50A,shell_5.75A,shell_6.00A,shell_6.25A,shell_6.75A,shell_7.25A,shell_8.25A,shell_10.50A
POSCAR.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
POSCAR.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
POSCAR.3,0.0,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,-1.0,0.5,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.4,0.0,0.0,0.0,-1.0,0.0,0.5,0.6923076923076923,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
POSCAR.6,0.0,0.0,0.0,1.0,0.0,0.5,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.7,1.0,0.0,0.0,0.0,1.0,0.5,0.6,0.0,1.0,-1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.8,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
POSCAR.9,1.0,0.0,0.0,0.5,0.0,0.5,0.6666666666666666,0.2,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.10,0.5,0.0,0.0,0.0,0.2,0.3333333333333333,0.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.11,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.12,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
POSCAR.13,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
POSCAR.14,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSCAR.15,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
POSCAR.16,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
POSCAR.17,0.5,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
