descriptor_family,n_features,loocv_rmse,loocv_mae,loocv_r2
Ce distance descriptors,3,2.215016942678659,1.8337534249010594,0.04373540254010255
Ce-O local descriptors,6,4.146580167120958,3.003806957315294,-2.351228996236393
Soft-mode descriptors,7,2.0625059794702563,1.565022371746985,0.17088570049397422
Lattice/distortion descriptors,7,1.9559156896150907,1.5769427824930529,0.2543685228363979
Relaxation descriptors,7,19.246835874280503,6.280287684048189,-71.20090788518785
Physics combined,10,3.981854727730316,2.122609670498489,-2.090258399269128
Ce/Zr pair correlations,236,2.0250403616725365,1.5354340024277602,0.20073399770673395
Ce/Zr triplet correlations,653,2.4161101912423955,2.0534725500000013,-0.1377777777777789
Ce/Zr quadruplet correlations,883,2.4161101912423955,2.0534725500000013,-0.1377777777777789
