structure,batch,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_zx,eps_trace_avg,eps_anisotropy,total_cpu_time_sec,lowest_mode_1,lowest_freq_1_thz,lowest_freq_1_cm1,lowest_mode_2,lowest_freq_2_thz,lowest_freq_2_cm1,lowest_mode_3,lowest_freq_3_thz,lowest_freq_3_cm1
POSCAR.1,Batch_79_20260428_115238_Two_node,62.36192,62.36192,16.244063,-0.0,0.0,-0.0,46.989301000000005,46.117857,5800.232,71,-0.158548,-5.288593,72,-0.158548,-5.288593,70,-0.06736,-2.246888
POSCAR.2,Batch_88_20260428_115244_Two_node,66.230466,50.173857,16.454698,0.0,-0.0,0.0,44.286340333333335,49.77576800000001,5762.239,72,-0.03347,-1.116438,71,-0.03213,-1.07175,70,-0.004272,-0.142501
POSCAR.3,Batch_89_20260428_115244_Two_node,59.731432,49.854823,16.323386,-0.0,-0.354581,0.0,41.96988033333333,43.41179512741153,9781.51,72,-0.473258,-15.786179,71,-0.013479,-0.449622,70,-0.006596,-0.220017
POSCAR.4,Batch_90_20260428_115245_Two_node,57.959902,59.132659,16.310826,-0.0,0.0,-0.0,44.46779566666666,42.821833,7101.629,72,-0.039602,-1.320976,71,-0.016906,-0.56392,70,-0.015812,-0.527417
POSCAR.6,Batch_91_20260428_115246_Two_node,53.269463,53.269463,16.590652,1.42608,0.108713,0.108713,41.04319266666667,38.10613160966136,8152.317,72,-0.026796,-0.89381,71,-0.021654,-0.722292,70,-0.019365,-0.645935
POSCAR.7,Batch_92_20260428_115246_Two_node,57.528208,50.213773,16.429797,0.0,0.0,-0.0,41.39059266666667,41.098411,6749.224,72,-0.141884,-4.732743,71,-0.005355,-0.178615,70,-0.002436,-0.081268
POSCAR.8,Batch_93_20260428_115247_Two_node,57.899267,57.899267,16.634609,0.0,-0.0,0.0,44.144381,41.264658,4133.866,71,-0.03088,-1.03003,72,-0.03088,-1.03003,70,-0.01239,-0.413284
POSCAR.9,Batch_94_20260428_115247_Two_node,54.168547,52.339732,16.25434,0.0,0.0,0.0,40.92087299999999,37.914207,13842.743,72,-0.011988,-0.399876,71,-0.005037,-0.168011,70,-0.005031,-0.167803
POSCAR.10,Batch_80_20260428_115239_Two_node,55.296588,61.694303,16.119957,0.0,-0.0,0.0,44.37028266666667,45.574346,6976.442,72,-0.022965,-0.766021,71,-0.004135,-0.13793,70,-0.003,-0.100064
POSCAR.11,Batch_81_20260428_115239_Two_node,49.370464,49.370464,17.262047,-1.689423,-0.0,-0.0,38.66765833333333,33.797839999999994,4847.193,72,-0.027965,-0.932812,71,-0.019631,-0.654818,70,-0.005859,-0.195441
POSCAR.12,Batch_82_20260428_115240_Two_node,52.278063,52.278063,16.648886,0.297118,0.0,0.0,40.40167066666667,35.926294999999996,4104.56,72,-0.051495,-1.717695,71,-0.037598,-1.254127,70,-0.023498,-0.783809
POSCAR.13,Batch_83_20260428_115241_Two_node,58.278884,58.63695,16.29407,-0.0,0.0,0.0,44.40330133333333,42.342879999999994,24884.154,72,-0.045164,-1.506507,71,-0.0277,-0.923988,70,-0.012166,-0.405816
POSCAR.14,Batch_84_20260428_115241_Two_node,54.940853,53.103257,16.555638,-0.0,-0.0,0.0,41.53324933333333,38.385215,7177.628,72,-0.010354,-0.345368,71,-0.008541,-0.2849,70,-0.006937,-0.231377
POSCAR.15,Batch_85_20260428_115242_Two_node,55.137788,55.137788,16.880558,0.0,0.0,-0.0,42.385378,38.25723,4212.786,71,-0.068699,-2.291553,72,-0.068699,-2.291553,70,-0.018397,-0.613653
POSCAR.16,Batch_86_20260428_115242_Two_node,49.760437,49.760437,16.871942,0.0,-0.0,0.0,38.79760533333334,32.888495000000006,4416.496,72,-0.018674,-0.622907,70,-0.014553,-0.485451,71,-0.014553,-0.485451
POSCAR.17,Batch_87_20260428_115243_Two_node,51.485823,51.485823,16.998893,-0.0,0.0,-0.0,39.99017966666667,34.48693,5750.684,71,-0.015192,-0.506765,72,-0.015192,-0.506765,70,-0.012611,-0.42066
